"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"17466";"http://pedregosa.local/img/p/0.jpg";"Canon IPF 8300 Cartucho Rojo PFI-306";"6663B001AA";"";"125.190000";"151.48";"1000";"1";
"17481";"http://pedregosa.local/img/p/0.jpg";"Canon IPF 8300 Cartucho Foto Gris PFI-706";"6691B001AA";"";"219.090000";"265.1";"1000";"1";
"3945";"http://pedregosa.local/img/p/0.jpg";"Toner OLIVETTI D-COPIA 16/16MF/200/200MF/1600/2000";"B0446";"";"56.570000";"68.45";"1000";"1";
"17487";"http://pedregosa.local/img/p/0.jpg";"Canon IPF 8300/8400 Cartucho Negro PFI-706";"6681B001AA";"";"219.090000";"265.1";"1000";"1";
"13369";"http://pedregosa.local/img/p/0.jpg";"TEKTRONIX QUBE/8570 Cartucho tinta solida Magenta(Pack 2)";"108R00932";"";"119.600000";"144.72";"1000";"1";
"13525";"http://pedregosa.local/img/p/0.jpg";"Cartucho TEKTRONIX COLORQUBE 8870 - 6 barras tinta solida Cian";"108R00954";"";"71.770000";"86.84";"1000";"1";
"24285";"http://pedregosa.local/img/p/0.jpg";"MINOLTA-QMS Magicolor 7450 Unidad de impresión Magenta";"4062413";"";"142.130000";"171.98";"1000";"1";
"200251";"http://pedregosa.local/img/p/0.jpg";"Cartucho de tinta original HP 40 negro para las impresoras 1200C y 1200CS";"51640AE";"Inicio";"0.000000";"0";"0";"0";
"200165";"http://pedregosa.local/img/p/0.jpg";"Cabezal de impresion HP 83 + Limpiador";"";"TINTA IMPRESORA";"0.000000";"0";"1000";"0";
"13087";"http://pedregosa.local/img/p/0.jpg";"OKI C301/ C310/C330/351/361/C510/511/C530/531/561/562 Cinturon de Arrastre de papel";"44472202";"";"54.670000";"66.15";"1000";"1";
"17485";"http://pedregosa.local/img/p/0.jpg";"Canon IPF 8300 Cartucho Magenta PFI-706";"6683B001AA";"";"219.090000";"265.1";"1000";"1";
"12828";"http://pedregosa.local/img/p/0.jpg";"SAMSUNG CLX-8380ND unidad de imagen Negra";"CLX-R838XK";"";"112.700000";"136.37";"1000";"1";
"14467";"http://pedregosa.local/img/p/0.jpg";"XEROX PHASER 5500 Kit de Mantenimiento Negro";"109R00732";"";"426.410000";"515.96";"1000";"1";
"200180";"http://pedregosa.local/img/p/0.jpg";"REGALO: Tarjeta de gasolina de 10€";"100547";"Inicio";"0.000000";"0";"7";"1";
"6843";"http://pedregosa.local/img/p/0.jpg";"KYOCERA-MITA FS-7000 Toner";"37027030";"";"153.790000";"186.09";"1000";"1";
"12549";"http://pedregosa.local/img/p/0.jpg";"LEXMARK T-654 TAMBOR Retornable";"0T654X11E";"";"444.540000";"537.89";"1000";"0";
"17486";"http://pedregosa.local/img/p/0.jpg";"Canon IPF 8300 Cartucho Cian PFI-706";"6682B001AA";"";"219.090000";"265.1";"1000";"1";
"13929";"http://pedregosa.local/img/p/0.jpg";"KYOCERA-MITA FS-C5150DN Toner Negro";"1T02KT0NL0";"";"44.630000";"54";"1000";"1";
"17474";"http://pedregosa.local/img/p/0.jpg";"Canon IPF 8300 Cartucho Foto Cian PFI-706";"6685B001AA";"";"219.090000";"265.1";"1000";"1";
"8797";"http://pedregosa.local/img/p/0.jpg";"MINOLTA-QMS Magic Color 5440DL/5450 tóner Cian 6.000 paginas";"1710604-004";"";"183.470000";"222";"1000";"1";
"5349";"http://pedregosa.local/img/p/0.jpg";"Olivetti Hotcart cinta correctable negra";"80315";"";"9.690000";"11.72";"1000";"0";
"12590";"http://pedregosa.local/img/p/3/0/2/3/3023.jpg";"HP Designjet 500/500 Plus/500PS/510 Cartucho Magenta Nº82";"CH567A";"TINTA IMPRESORA";"25.412800";"30.75";"1000";"0";
"13717";"http://pedregosa.local/img/p/3/1/4/3/3143.jpg";"HP Designjet Z5200 Cartucho Negro Mate nº772 300ml";"CN635A";"TINTA IMPRESORA";"109.289600";"132.24";"1000";"0";
"30336";"http://pedregosa.local/img/p/8/8/9/1/8891.jpg";"Escaner Sobremesa Brother PDS5000 A4 Color";"PDS5000";"ESCANER";"683.290000";"826.78";"1000";"1";
"31970";"http://pedregosa.local/img/p/2/3/3/4/2334.jpg";"BROTHER Cartucho de tinta negro de larga duración para MFCJ5330,MFCJ6530DW,MFCJ6930DW";"LC3219XLBK";"";"24.820000";"30.03";"999";"1";
"18745";"http://pedregosa.local/img/p/2/6/0/5/2605.jpg";"Epson WorkForce WF-3000 y WF-7000 Cartucho Magenta de Alta Capacidad nº27XL";"C13T27134012";"";"18.840000";"22.8";"1000";"1";
"5378";"http://pedregosa.local/img/p/8/3/6/7/8367.jpg";"Cinta CORRECTORA OLIVETTI WORDCART ET-2000/2200 LIFT-OFF";"80673";"";"1.750000";"2.12";"1000";"1";
"8834";"http://pedregosa.local/img/p/7/3/4/1/7341.jpg";"OKI C-5600/5700 Tambor Amarillo";"43381705";"";"47.420000";"57.38";"1000";"1";
"14039";"http://pedregosa.local/img/p/7/3/5/6/7356.jpg";"OKI B840 Toner";"44661802";"";"227.120000";"274.82";"1000";"1";
